案號,案發時間,案件地點網格編號,timestamp
20220101000008003,2022-01-01 00:00:00,429,1640995200
20220101000328003,2022-01-01 00:04:00,252,1640995440
20220101001100004,2022-01-01 00:11:00,190,1640995860
20220101002150003,2022-01-01 00:22:00,251,1640996520
20220101002113007,2022-01-01 00:23:00,488,1640996580
20220101003016004,2022-01-01 00:31:00,287,1640997060
20220101003130007,2022-01-01 00:33:00,225,1640997180
20220101003453009,2022-01-01 00:36:00,459,1640997360
20220101003657003,2022-01-01 00:37:00,188,1640997420
20220101003756004,2022-01-01 00:38:00,400,1640997480
20220101003909003,2022-01-01 00:40:00,372,1640997600
20220101004106007,2022-01-01 00:42:00,518,1640997720
20220101004141003,2022-01-01 00:42:00,423,1640997720
20220101004310003,2022-01-01 00:44:00,158,1640997840
20220101004445007,2022-01-01 00:46:00,288,1640997960
20220101005053004,2022-01-01 00:53:00,224,1640998380
20220101005907004,2022-01-01 01:00:00,393,1640998800
20220101010046007,2022-01-01 01:02:00,340,1640998920
20220101010230004,2022-01-01 01:03:00,402,1640998980
20220101010230004,2022-01-01 01:03:00,402,1640998980
20220101010304003,2022-01-01 01:03:00,431,1640998980
20220101010533003,2022-01-01 01:06:00,232,1640999160
20220101010527007,2022-01-01 01:08:00,612,1640999280
20220101010811003,2022-01-01 01:09:00,519,1640999340
20220101011416003,2022-01-01 01:14:00,399,1640999640
20220101011609008,2022-01-01 01:18:00,282,1640999880
20220101011639003,2022-01-01 01:18:00,401,1640999880
20220101011752004,2022-01-01 01:19:00,460,1640999940
20220101012031008,2022-01-01 01:21:00,369,1641000060
20220101012048004,2022-01-01 01:22:00,371,1641000120
20220101012447008,2022-01-01 01:26:00,287,1641000360
20220101012516003,2022-01-01 01:26:00,704,1641000360
20220101012849008,2022-01-01 01:30:00,370,1641000600
20220101014311003,2022-01-01 01:44:00,371,1641001440
20220101015001009,2022-01-01 01:51:00,460,1641001860
20220101015301007,2022-01-01 01:54:00,283,1641002040
20220101015906003,2022-01-01 02:00:00,370,1641002400
20220101020257009,2022-01-01 02:05:00,460,1641002700
20220101020540003,2022-01-01 02:06:00,307,1641002760
20220101021055003,2022-01-01 02:12:00,431,1641003120
20220101021150008,2022-01-01 02:13:00,218,1641003180
20220101021358007,2022-01-01 02:15:00,220,1641003300
20220101021731004,2022-01-01 02:19:00,129,1641003540
20220101022023003,2022-01-01 02:21:00,463,1641003660
20220101022455007,2022-01-01 02:26:00,283,1641003960
20220101022911004,2022-01-01 02:30:00,460,1641004200
20220101023922003,2022-01-01 02:40:00,220,1641004800
20220101024720004,2022-01-01 02:48:00,519,1641005280
20220101024845003,2022-01-01 02:50:00,78,1641005400
20220101024944007,2022-01-01 02:52:00,249,1641005520
20220101024944007,2022-01-01 02:52:00,249,1641005520
20220101025058004,2022-01-01 02:53:00,159,1641005580
20220101025814007,2022-01-01 02:59:00,250,1641005940
20220101030103007,2022-01-01 03:02:00,313,1641006120
20220101030637004,2022-01-01 03:08:00,251,1641006480
20220101031644004,2022-01-01 03:17:00,704,1641007020
20220101032329008,2022-01-01 03:24:00,459,1641007440
20220101032503007,2022-01-01 03:26:00,284,1641007560
20220101032535008,2022-01-01 03:26:00,401,1641007560
20220101032539004,2022-01-01 03:26:00,368,1641007560
20220101032714004,2022-01-01 03:28:00,431,1641007680
20220101032845008,2022-01-01 03:30:00,521,1641007800
20220101033836008,2022-01-01 03:40:00,521,1641008400
20220101034220007,2022-01-01 03:43:00,345,1641008580
20220101034358003,2022-01-01 03:44:00,460,1641008640
20220101034432004,2022-01-01 03:46:00,430,1641008760
20220101034634008,2022-01-01 03:47:00,459,1641008820
20220101034700007,2022-01-01 03:51:00,459,1641009060
20220101034957003,2022-01-01 03:51:00,459,1641009060
20220101034957003,2022-01-01 03:51:00,459,1641009060
20220101035524003,2022-01-01 03:55:00,172,1641009300
20220101040927008,2022-01-01 04:10:00,399,1641010200
20220101041112003,2022-01-01 04:12:00,282,1641010320
20220101041838007,2022-01-01 04:20:00,429,1641010800
20220101041922008,2022-01-01 04:20:00,459,1641010800
20220101042021004,2022-01-01 04:21:00,459,1641010860
20220101042039007,2022-01-01 04:23:00,556,1641010980
20220101042306008,2022-01-01 04:25:00,459,1641011100
20220101042322004,2022-01-01 04:25:00,281,1641011100
20220101043102007,2022-01-01 04:32:00,188,1641011520
20220101043134008,2022-01-01 04:32:00,400,1641011520
20220101043432004,2022-01-01 04:36:00,400,1641011760
20220101043956007,2022-01-01 04:41:00,459,1641012060
20220101044145007,2022-01-01 04:44:00,159,1641012240
20220101044851007,2022-01-01 04:50:00,459,1641012600
20220101045023003,2022-01-01 04:51:00,490,1641012660
20220101045505003,2022-01-01 04:55:00,159,1641012900
20220101050019007,2022-01-01 05:02:00,459,1641013320
20220101050214004,2022-01-01 05:02:00,369,1641013320
20220101050254008,2022-01-01 05:04:00,342,1641013440
20220101050742004,2022-01-01 05:08:00,491,1641013680
20220101052535003,2022-01-01 05:26:00,158,1641014760
20220101052509008,2022-01-01 05:26:00,343,1641014760
20220101052518004,2022-01-01 05:26:00,223,1641014760
20220101052708007,2022-01-01 05:29:00,460,1641014940
20220101054519008,2022-01-01 05:46:00,160,1641015960
20220101054519008,2022-01-01 05:46:00,160,1641015960
20220101055226004,2022-01-01 05:53:00,158,1641016380
20220101055221003,2022-01-01 05:54:00,429,1641016440
20220101060019003,2022-01-01 06:01:00,158,1641016860
20220101060218007,2022-01-01 06:04:00,370,1641017040
20220101060509003,2022-01-01 06:06:00,220,1641017160
20220101060553007,2022-01-01 06:07:00,189,1641017220
20220101060652008,2022-01-01 06:08:00,285,1641017280
20220101061246008,2022-01-01 06:14:00,285,1641017640
20220101061931008,2022-01-01 06:21:00,456,1641018060
20220101062456004,2022-01-01 06:26:00,191,1641018360
20220101062913004,2022-01-01 06:31:00,525,1641018660
20220101062823007,2022-01-01 06:31:00,318,1641018660
20220101062909003,2022-01-01 06:32:00,400,1641018720
20220101063221007,2022-01-01 06:36:00,343,1641018960
20220101063542004,2022-01-01 06:37:00,159,1641019020
20220101065039007,2022-01-01 06:51:00,425,1641019860
20220101065128004,2022-01-01 06:52:00,459,1641019920
20220101065936008,2022-01-01 07:00:00,221,1641020400
20220101070249007,2022-01-01 07:03:00,335,1641020580
20220101070232004,2022-01-01 07:04:00,400,1641020640
20220101071041004,2022-01-01 07:11:00,286,1641021060
20220101071147007,2022-01-01 07:13:00,513,1641021180
20220101071549004,2022-01-01 07:16:00,490,1641021360
20220101072612007,2022-01-01 07:27:00,222,1641022020
20220101072829004,2022-01-01 07:30:00,704,1641022200
20220101073217004,2022-01-01 07:33:00,218,1641022380
20220101073820007,2022-01-01 07:38:00,252,1641022680
20220101074402007,2022-01-01 07:45:00,432,1641023100
20220101074853004,2022-01-01 07:48:00,408,1641023280
20220101074838003,2022-01-01 07:50:00,612,1641023400
20220101074853004,2022-01-01 07:50:00,408,1641023400
20220101075035007,2022-01-01 07:51:00,225,1641023460
20220101075745003,2022-01-01 07:59:00,342,1641023940
20220101075911004,2022-01-01 08:01:00,365,1641024060
20220101082142003,2022-01-01 08:21:00,188,1641025260
20220101082142003,2022-01-01 08:25:00,188,1641025500
20220101082423004,2022-01-01 08:25:00,223,1641025500
20220101082741002,2022-01-01 08:29:00,172,1641025740
20220101083009007,2022-01-01 08:30:00,405,1641025800
20220101083108005,2022-01-01 08:32:00,171,1641025920
20220101083145007,2022-01-01 08:33:00,371,1641025980
20220101083145007,2022-01-01 08:33:00,371,1641025980
20220101083914007,2022-01-01 08:40:00,288,1641026400
20220101083914007,2022-01-01 08:40:00,288,1641026400
20220101083921004,2022-01-01 08:42:00,552,1641026520
20220101090908008,2022-01-01 09:09:00,288,1641028140
20220101091753008,2022-01-01 09:18:00,197,1641028680
20220101091635004,2022-01-01 09:19:00,489,1641028740
20220101091939007,2022-01-01 09:20:00,313,1641028800
20220101092649007,2022-01-01 09:27:00,364,1641029220
20220101093223005,2022-01-01 09:33:00,484,1641029580
20220101093533004,2022-01-01 09:37:00,615,1641029820
20220101093826007,2022-01-01 09:39:00,253,1641029940
20220101094625008,2022-01-01 09:47:00,349,1641030420
20220101094943003,2022-01-01 09:50:00,224,1641030600
20220101095123007,2022-01-01 09:52:00,318,1641030720
20220101095405004,2022-01-01 09:55:00,461,1641030900
20220101100056004,2022-01-01 10:02:00,335,1641031320
20220101100215007,2022-01-01 10:03:00,225,1641031380
20220101100308004,2022-01-01 10:05:00,520,1641031500
20220101100308004,2022-01-01 10:05:00,520,1641031500
