分隊,網格編號,車程時間
華山,4,30.0
忠孝,4,35.0
泉州,4,27.0
古亭,4,28.0
城中,4,30.0
雙園,4,20.0
龍山,4,24.0
萬芳,4,32.0
景美,4,28.0
木柵,4,33.0
寶橋,4,26.0
金華,4,31.0
安和,4,31.0
復興,4,32.0
南港,4,37.0
舊莊,4,34.0
成德,4,40.0
信義,4,37.0
永吉,4,35.0
莊敬,4,34.0
大直,4,35.0
松江,4,32.0
建國,4,31.0
圓山,4,34.0
八德,4,33.0
中崙,4,35.0
東湖,4,36.0
大湖,4,43.0
內湖,4,35.0
民權,4,33.0
建成,4,31.0
延平,4,27.0
大同,4,31.0
山仔后,4,41.0
天母,4,46.0
福安,4,34.0
社子,4,32.0
劍潭,4,41.0
雙溪,4,44.0
後港,4,36.0
陽明山,4,47.0
光明,4,43.0
關渡,4,39.0
石牌,4,43.0
秀山,4,32.0
華山,7,18.0
忠孝,7,21.0
泉州,7,16.0
古亭,7,24.0
城中,7,19.0
雙園,7,10.0
龍山,7,12.0
萬芳,7,30.0
景美,7,22.0
木柵,7,28.0
寶橋,7,24.0
金華,7,22.0
安和,7,29.0
復興,7,27.0
南港,7,32.0
舊莊,7,30.0
成德,7,28.0
信義,7,25.0
永吉,7,23.0
莊敬,7,29.0
大直,7,29.0
松江,7,19.0
建國,7,25.0
圓山,7,22.0
八德,7,20.0
中崙,7,22.0
東湖,7,30.0
大湖,7,36.0
內湖,7,27.0
民權,7,24.0
建成,7,18.0
延平,7,14.0
大同,7,19.0
山仔后,7,38.0
天母,7,37.0
福安,7,21.0
社子,7,19.0
劍潭,7,28.0
雙溪,7,32.0
後港,7,23.0
陽明山,7,43.0
光明,7,31.0
關渡,7,27.0
石牌,7,30.0
秀山,7,30.0
華山,12,15.0
忠孝,12,17.0
泉州,12,18.0
古亭,12,26.0
城中,12,14.0
雙園,12,14.0
龍山,12,17.0
萬芳,12,30.0
景美,12,23.0
木柵,12,28.0
寶橋,12,25.0
金華,12,21.0
安和,12,25.0
復興,12,23.0
南港,12,28.0
舊莊,12,26.0
成德,12,24.0
信義,12,21.0
永吉,12,19.0
莊敬,12,26.0
大直,12,25.0
松江,12,15.0
建國,12,20.0
圓山,12,19.0
八德,12,16.0
中崙,12,18.0
東湖,12,25.0
大湖,12,32.0
內湖,12,23.0
民權,12,20.0
建成,12,15.0
延平,12,11.0
大同,12,16.0
山仔后,12,35.0
天母,12,33.0
福安,12,18.0
社子,12,17.0
劍潭,12,24.0
雙溪,12,28.0
後港,12,20.0
陽明山,12,35.0
光明,12,28.0
關渡,12,26.0
石牌,12,27.0
秀山,12,20.0
華山,19,22.0
忠孝,19,24.0
泉州,19,26.0
古亭,19,28.0
城中,19,22.0
雙園,19,24.0
龍山,19,24.0
萬芳,19,35.0
景美,19,30.0
木柵,19,35.0
寶橋,19,35.0
金華,19,26.0
安和,19,28.0
復興,19,26.0
南港,19,28.0
舊莊,19,35.0
成德,19,30.0
信義,19,28.0
永吉,19,26.0
莊敬,19,35.0
大直,19,24.0
松江,19,24.0
建國,19,20.0
圓山,19,20.0
八德,19,26.0
中崙,19,24.0
東湖,19,24.0
大湖,19,30.0
內湖,19,24.0
民權,19,26.0
建成,19,22.0
延平,19,20.0
大同,19,20.0
山仔后,19,30.0
天母,19,20.0
福安,19,12.0
社子,19,16.0
劍潭,19,18.0
雙溪,19,20.0
後港,19,16.0
陽明山,19,28.0
光明,19,14.0
關渡,19,3.0
石牌,19,14.0
秀山,19,12.0
華山,20,31.0
忠孝,20,34.0
泉州,20,37.0
古亭,20,44.0
城中,20,31.0
雙園,20,35.0
龍山,20,32.0
萬芳,20,51.0
景美,20,46.0
木柵,20,51.0
寶橋,20,52.0
金華,20,39.0
安和,20,45.0
復興,20,43.0
南港,20,43.0
舊莊,20,47.0
成德,20,45.0
信義,20,43.0
永吉,20,41.0
莊敬,20,47.0
大直,20,32.0
松江,20,35.0
建國,20,30.0
圓山,20,26.0
八德,20,42.0
中崙,20,37.0
東湖,20,37.0
大湖,20,42.0
內湖,20,36.0
民權,20,37.0
建成,20,26.0
延平,20,28.0
大同,20,27.0
山仔后,20,32.0
天母,20,20.0
福安,20,12.0
社子,20,21.0
劍潭,20,22.0
雙溪,20,25.0
後港,20,19.0
陽明山,20,28.0
光明,20,14.0
關渡,20,2.0
石牌,20,14.0
秀山,20,11.0
華山,21,27.0
忠孝,21,26.0
泉州,21,29.0
古亭,21,30.0
城中,21,26.0
雙園,21,23.0
龍山,21,27.0
萬芳,21,36.0
景美,21,35.0
木柵,21,42.0
寶橋,21,39.0
金華,21,28.0
安和,21,32.0
復興,21,29.0
南港,21,32.0
舊莊,21,34.0
成德,21,33.0
信義,21,34.0
永吉,21,30.0
莊敬,21,37.0
大直,21,28.0
松江,21,27.0
建國,21,23.0
圓山,21,22.0
八德,21,29.0
中崙,21,26.0
東湖,21,28.0
大湖,21,35.0
內湖,21,26.0
民權,21,31.0
建成,21,24.0
延平,21,23.0
大同,21,22.0
山仔后,21,44.0
天母,21,22.0
福安,21,12.0
社子,21,17.0
劍潭,21,20.0
雙溪,21,24.0
後港,21,18.0
陽明山,21,49.0
光明,21,14.0
關渡,21,5.0
石牌,21,15.0
秀山,21,35.0
華山,37,20.0
忠孝,37,24.0
泉州,37,15.0
古亭,37,21.0
城中,37,19.0
雙園,37,9.0
龍山,37,13.0
萬芳,37,27.0
景美,37,20.0
木柵,37,25.0
寶橋,37,22.0
金華,37,22.0
安和,37,24.0
復興,37,26.0
南港,37,34.0
舊莊,37,30.0
成德,37,30.0
信義,37,27.0
永吉,37,25.0
莊敬,37,27.0
大直,37,32.0
松江,37,22.0
建國,37,27.0
圓山,37,24.0
八德,37,23.0
中崙,37,25.0
東湖,37,33.0
大湖,37,38.0
內湖,37,30.0
民權,37,27.0
建成,37,20.0
延平,37,17.0
大同,37,21.0
山仔后,37,36.0
天母,37,39.0
福安,37,24.0
社子,37,22.0
劍潭,37,31.0
雙溪,37,34.0
後港,37,26.0
陽明山,37,41.0
光明,37,33.0
關渡,37,28.0
石牌,37,33.0
秀山,37,28.0
華山,45,20.0
忠孝,45,22.0
泉州,45,23.0
古亭,45,26.0
城中,45,19.0
雙園,45,16.0
龍山,45,20.0
萬芳,45,32.0
景美,45,30.0
木柵,45,36.0
寶橋,45,32.0
金華,45,26.0
安和,45,28.0
復興,45,25.0
南港,45,28.0
舊莊,45,31.0
成德,45,29.0
信義,45,26.0
永吉,45,24.0
莊敬,45,31.0
大直,45,25.0
松江,45,20.0
建國,45,19.0
圓山,45,19.0
八德,45,21.0
中崙,45,23.0
東湖,45,24.0
大湖,45,31.0
內湖,45,22.0
民權,45,22.0
建成,45,20.0
延平,45,17.0
大同,45,20.0
山仔后,45,34.0
天母,45,32.0
福安,45,17.0
社子,45,17.0
劍潭,45,25.0
雙溪,45,26.0
後港,45,18.0
陽明山,45,40.0
光明,45,26.0
關渡,45,20.0
石牌,45,25.0
秀山,45,23.0
華山,46,22.0
忠孝,46,24.0
泉州,46,25.0
古亭,46,26.0
城中,46,21.0
雙園,46,18.0
龍山,46,21.0
萬芳,46,33.0
景美,46,32.0
木柵,46,37.0
寶橋,46,34.0
金華,46,28.0
安和,46,28.0
復興,46,25.0
南港,46,28.0
舊莊,46,31.0
成德,46,29.0
信義,46,28.0
永吉,46,26.0
莊敬,46,33.0
大直,46,25.0
松江,46,23.0
建國,46,19.0
圓山,46,19.0
八德,46,24.0
中崙,46,23.0
東湖,46,24.0
大湖,46,31.0
內湖,46,22.0
民權,46,25.0
建成,46,20.0
延平,46,19.0
大同,46,18.0
山仔后,46,32.0
天母,46,30.0
福安,46,15.0
社子,46,15.0
劍潭,46,23.0
雙溪,46,24.0
後港,46,16.0
陽明山,46,32.0
光明,46,24.0
關渡,46,15.0
石牌,46,23.0
秀山,46,18.0
華山,48,24.0
忠孝,48,28.0
泉州,48,27.0
古亭,48,27.0
城中,48,25.0
雙園,48,26.0
龍山,48,24.0
萬芳,48,33.0
景美,48,32.0
木柵,48,36.0
寶橋,48,38.0
金華,48,27.0
安和,48,29.0
復興,48,26.0
南港,48,29.0
舊莊,48,31.0
成德,48,30.0
信義,48,31.0
永吉,48,29.0
莊敬,48,34.0
大直,48,26.0
松江,48,25.0
建國,48,20.0
圓山,48,19.0
八德,48,27.0
中崙,48,24.0
東湖,48,25.0
大湖,48,32.0
內湖,48,23.0
民權,48,30.0
建成,48,21.0
延平,48,20.0
大同,48,20.0
山仔后,48,33.0
天母,48,21.0
福安,48,8.0
社子,48,15.0
劍潭,48,20.0
雙溪,48,25.0
後港,48,16.0
陽明山,48,28.0
光明,48,16.0
關渡,48,16.0
石牌,48,14.0
秀山,48,14.0
華山,49,27.0
忠孝,49,27.0
泉州,49,30.0
古亭,49,30.0
城中,49,27.0
雙園,49,24.0
龍山,49,27.0
萬芳,49,37.0
景美,49,36.0
木柵,49,40.0
寶橋,49,40.0
金華,49,29.0
安和,49,32.0
復興,49,29.0
南港,49,33.0
舊莊,49,35.0
成德,49,33.0
信義,49,34.0
永吉,49,32.0
莊敬,49,37.0
大直,49,28.0
松江,49,28.0
建國,49,23.0
圓山,49,22.0
八德,49,30.0
中崙,49,27.0
東湖,49,28.0
大湖,49,35.0
內湖,49,27.0
民權,49,32.0
建成,49,24.0
延平,49,24.0
大同,49,23.0
山仔后,49,29.0
天母,49,23.0
福安,49,13.0
社子,49,18.0
劍潭,49,21.0
雙溪,49,25.0
後港,49,18.0
陽明山,49,26.0
光明,49,15.0
關渡,49,4.0
石牌,49,16.0
秀山,49,11.0
華山,50,24.0
忠孝,50,23.0
泉州,50,26.0
古亭,50,27.0
城中,50,25.0
雙園,50,23.0
龍山,50,24.0
萬芳,50,33.0
景美,50,32.0
木柵,50,36.0
寶橋,50,38.0
金華,50,25.0
安和,50,29.0
復興,50,26.0
南港,50,29.0
舊莊,50,31.0
成德,50,30.0
信義,50,31.0
永吉,50,29.0
莊敬,50,34.0
大直,50,25.0
松江,50,24.0
建國,50,20.0
圓山,50,19.0
八德,50,26.0
中崙,50,24.0
東湖,50,25.0
大湖,50,32.0
內湖,50,23.0
民權,50,30.0
建成,50,21.0
延平,50,20.0
大同,50,19.0
山仔后,50,32.0
天母,50,19.0
福安,50,9.0
社子,50,14.0
劍潭,50,18.0
雙溪,50,21.0
後港,50,15.0
陽明山,50,26.0
光明,50,12.0
關渡,50,1.0
石牌,50,13.0
秀山,50,10.0
華山,51,26.0
忠孝,51,26.0
泉州,51,29.0
古亭,51,29.0
城中,51,27.0
雙園,51,23.0
龍山,51,26.0
萬芳,51,36.0
景美,51,35.0
木柵,51,39.0
寶橋,51,39.0
金華,51,28.0
安和,51,32.0
復興,51,28.0
南港,51,32.0
舊莊,51,34.0
成德,51,32.0
信義,51,33.0
永吉,51,31.0
莊敬,51,36.0
大直,51,27.0
松江,51,27.0
建國,51,22.0
圓山,51,21.0
八德,51,29.0
中崙,51,26.0
東湖,51,27.0
大湖,51,34.0
內湖,51,26.0
民權,51,32.0
建成,51,23.0
延平,51,23.0
大同,51,22.0
山仔后,51,39.0
天母,51,22.0
福安,51,12.0
社子,51,17.0
劍潭,51,20.0
雙溪,51,24.0
後港,51,17.0
陽明山,51,36.0
光明,51,13.0
關渡,51,5.0
石牌,51,15.0
秀山,51,19.0
華山,54,32.0
忠孝,54,33.0
泉州,54,36.0
古亭,54,37.0
城中,54,32.0
雙園,54,29.0
龍山,54,34.0
萬芳,54,43.0
景美,54,42.0
木柵,54,48.0
寶橋,54,45.0
金華,54,35.0
安和,54,39.0
復興,54,36.0
南港,54,39.0
舊莊,54,41.0
成德,54,40.0
信義,54,39.0
永吉,54,37.0
莊敬,54,44.0
大直,54,35.0
松江,54,34.0
建國,54,30.0
圓山,54,29.0
八德,54,34.0
中崙,54,33.0
東湖,54,35.0
大湖,54,42.0
內湖,54,33.0
民權,54,37.0
建成,54,31.0
延平,54,30.0
大同,54,29.0
山仔后,54,39.0
天母,54,29.0
福安,54,19.0
社子,54,24.0
劍潭,54,27.0
雙溪,54,31.0
後港,54,25.0
陽明山,54,34.0
光明,54,22.0
關渡,54,13.0
石牌,54,22.0
秀山,54,18.0
華山,58,40.0
忠孝,58,41.0
泉州,58,44.0
古亭,58,45.0
城中,58,40.0
雙園,58,37.0
龍山,58,42.0
萬芳,58,51.0
景美,58,50.0
木柵,58,56.0
寶橋,58,53.0
金華,58,43.0
安和,58,47.0
復興,58,44.0
南港,58,47.0
舊莊,58,49.0
成德,58,48.0
信義,58,47.0
永吉,58,45.0
莊敬,58,52.0
大直,58,43.0
松江,58,42.0
建國,58,38.0
圓山,58,37.0
八德,58,42.0
中崙,58,42.0
東湖,58,43.0
大湖,58,50.0
內湖,58,41.0
民權,58,45.0
建成,58,39.0
延平,58,38.0
大同,58,37.0
